Taxable Year,County,Population,All Returns,AGI,Median Income,Median Rank,Joint Returns,Joint Returns Median Income,Joint Returns Median Rank,Tax Assessed,Latitude,Longitude,New Georeferenced Column
2018,Modoc,"9,487","2,901","122,687,945","31,493",55,"1,306","51,305",57,"3,648,317",41.71368177,-120.943072,POINT (-120.943072 41.71368177)
2017,Del Norte,"26,811","8,848","422,119,000","33,401",44,"3,573","60,264",43,"11,810,000",41.70557047,-123.8920045,POINT (-123.8920045 41.70557047)
2017,Alameda,"1,651,319","791,047","81,843,164,000","55,146",5,"300,291","121,277",5,"4,597,839,000",37.72022591,-122.1643521,POINT (-122.1643521 37.72022591)
2017,Napa,"141,205","65,159","6,364,137,000","48,513",9,"26,084","92,176",11,"373,165,000",38.45938161,-122.3328556,POINT (-122.3328556 38.45938161)
2019,Shasta,"177,692","79,547","4,676,981,000","36,372",37,"32,274","69,097",38,"167,305,000",40.53502155,-122.5021643,POINT (-122.5021643 40.53502155)
2017,Tuolumne,"52,862","22,589","1,312,559,000","37,437",28,"9,605","68,099",32,"45,631,000",37.96385957,-119.8920735,POINT (-119.8920735 37.96385957)
2017,Yolo,"219,758","87,764","6,535,186,000","42,522",17,"33,885","91,494",12,"291,570,000",38.68382688,-121.9127421,POINT (-121.9127421 38.68382688)
2018,Calaveras,"44,572","19,299","1,248,550,447","42,365",21,"9,079","73,144",30,"47,473,736",38.25462698,-120.4657376,POINT (-120.4657376 38.25462698)
2018,Kern,"907,055","327,383","18,304,520,126","33,262",48,"121,211","64,607",39,"648,995,888",35.37676773,-118.8073572,POINT (-118.8073572 35.37676773)
2019,Los Angeles,"10,171,593","4,653,590","379,777,072,000","38,371",30,"1,367,550","79,904",24,"21,143,806,000",34.0594833,-118.242048,POINT (-118.242048 34.0594833)
2017,Imperial,"187,943","67,989","2,921,103,000","25,785",58,"26,858","42,881",58,"78,271,000",33.07729374,-114.7515356,POINT (-114.7515356 33.07729374)
2019,Resident Out-of-State,,"145,300","7,151,080,000","19,946",,"47,474","31,937",,"527,466,000",0,0,POINT (0 0)
2018,Fresno,"1,010,837","386,367","22,003,081,162","32,541",49,"132,293","65,516",38,"866,634,148",36.81276025,-119.6826941,POINT (-119.6826941 36.81276025)
2018,San Luis Obispo,"279,321","126,516","9,712,873,483","45,968",12,"51,320","91,116",16,"445,315,352",35.27435015,-120.6124974,POINT (-120.6124974 35.27435015)
